,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Urban,Property_Rural,Property_Semiurban,Loan_Status
521,0,1,0,0,1,2500,0.0,55.0,360.0,1.0,0.0,1.0,0.0,Y
412,0,0,0,1,1,6096,0.0,218.0,360.0,0.0,1.0,0.0,0.0,N
554,0,0,0,0,1,3593,4266.0,132.0,180.0,0.0,1.0,0.0,0.0,N
161,0,0,0,0,1,7933,0.0,275.0,360.0,1.0,0.0,0.0,1.0,N
427,0,0,2,0,1,5935,0.0,133.0,360.0,1.0,0.0,1.0,0.0,Y
324,0,0,3,0,1,15000,0.0,300.0,360.0,1.0,1.0,0.0,0.0,Y
538,0,0,0,1,1,2917,536.0,66.0,360.0,1.0,1.0,0.0,0.0,N
290,0,0,0,0,1,3075,2416.0,139.0,360.0,1.0,1.0,0.0,0.0,Y
209,0,1,0,0,1,3418,0.0,127.0,360.0,1.0,0.0,1.0,0.0,N
599,0,0,2,0,1,5780,0.0,192.0,360.0,1.0,0.0,0.0,1.0,Y
95,0,1,0,0,1,6782,0.0,127.0,360.0,1.0,0.0,0.0,1.0,N
487,0,0,1,0,1,18333,0.0,500.0,360.0,1.0,0.0,0.0,1.0,N
131,0,1,0,0,1,2014,1929.0,74.0,360.0,1.0,0.0,0.0,1.0,Y
255,1,1,3,0,1,3083,0.0,255.0,360.0,1.0,1.0,0.0,0.0,Y
89,0,0,0,0,1,5695,4167.0,175.0,360.0,1.0,0.0,1.0,0.0,Y
557,0,0,3,0,0,10139,0.0,260.0,360.0,1.0,0.0,1.0,0.0,Y
424,0,0,0,0,1,14880,0.0,96.0,360.0,1.0,0.0,1.0,0.0,Y
385,0,1,1,0,1,3667,0.0,113.0,180.0,1.0,0.0,0.0,1.0,Y
556,1,1,0,0,1,2667,1625.0,84.0,360.0,1.0,0.0,0.0,1.0,Y
332,0,1,0,0,1,2833,0.0,71.0,360.0,1.0,0.0,0.0,1.0,Y
374,1,1,0,0,1,2764,1459.0,110.0,360.0,1.0,0.0,0.0,1.0,Y
260,0,0,1,0,1,6083,4250.0,330.0,360.0,1.0,0.0,0.0,1.0,Y
484,0,0,2,0,1,8333,0.0,246.0,360.0,1.0,0.0,1.0,0.0,Y
201,0,1,2,0,1,4923,0.0,166.0,360.0,0.0,0.0,1.0,0.0,Y
472,0,0,3,0,1,4691,0.0,100.0,360.0,1.0,0.0,1.0,0.0,Y
58,0,0,1,0,1,8080,2250.0,180.0,360.0,1.0,0.0,0.0,1.0,Y
63,0,0,1,0,1,4945,0.0,127.0,360.0,0.0,1.0,0.0,0.0,N
204,0,0,2,1,1,3917,0.0,124.0,360.0,1.0,0.0,1.0,0.0,Y
116,1,0,0,0,1,3167,2283.0,154.0,360.0,1.0,0.0,1.0,0.0,Y
560,0,0,2,1,1,3675,242.0,108.0,360.0,1.0,0.0,1.0,0.0,Y
513,0,0,0,0,1,2130,6666.0,70.0,180.0,1.0,0.0,1.0,0.0,N
113,1,1,1,0,0,7451,0.0,127.0,360.0,1.0,0.0,1.0,0.0,Y
149,0,0,0,0,1,4860,830.0,125.0,360.0,1.0,0.0,1.0,0.0,Y
197,1,1,0,1,1,1907,2365.0,120.0,360.0,1.0,0.0,0.0,1.0,Y
93,0,1,0,0,1,4133,0.0,122.0,360.0,1.0,0.0,1.0,0.0,Y
432,0,1,0,0,1,12876,0.0,405.0,360.0,1.0,0.0,1.0,0.0,Y
117,0,0,1,0,1,2214,1398.0,85.0,360.0,1.0,0.0,0.0,1.0,Y
338,1,1,3,1,1,1830,0.0,127.0,360.0,0.0,0.0,0.0,1.0,N
549,0,0,0,0,1,2785,2016.0,110.0,360.0,1.0,1.0,0.0,0.0,Y
502,0,0,2,0,1,4865,5624.0,208.0,360.0,1.0,0.0,1.0,0.0,Y
573,0,0,2,1,1,6125,1625.0,187.0,480.0,1.0,0.0,1.0,0.0,N
199,0,1,0,0,0,11000,0.0,83.0,360.0,1.0,0.0,0.0,1.0,N
7,0,0,3,0,1,3036,2504.0,158.0,360.0,0.0,0.0,1.0,0.0,N
305,0,1,0,1,1,2000,0.0,127.0,360.0,1.0,0.0,0.0,1.0,N
65,0,0,0,0,1,5726,4595.0,258.0,360.0,1.0,0.0,1.0,0.0,N
603,0,1,0,0,1,3676,4301.0,172.0,360.0,1.0,1.0,0.0,0.0,Y
194,0,1,0,0,1,4191,0.0,120.0,360.0,1.0,1.0,0.0,0.0,Y
215,0,0,3,1,1,3850,983.0,100.0,360.0,1.0,0.0,1.0,0.0,Y
124,0,0,0,1,1,4300,2014.0,194.0,360.0,1.0,1.0,0.0,0.0,Y
300,0,0,0,1,1,1800,2934.0,93.0,360.0,0.0,0.0,0.0,1.0,N
108,0,0,2,0,1,3800,3600.0,216.0,360.0,0.0,0.0,0.0,1.0,N
517,0,0,0,1,1,3074,1800.0,123.0,360.0,0.0,0.0,1.0,0.0,N
48,1,0,0,0,1,2645,3440.0,120.0,360.0,0.0,0.0,0.0,1.0,N
439,1,0,0,1,0,7142,0.0,138.0,360.0,1.0,1.0,0.0,0.0,Y
180,0,0,1,0,1,6400,7250.0,180.0,360.0,0.0,0.0,0.0,1.0,N
475,0,0,2,0,0,16525,1014.0,150.0,360.0,1.0,1.0,0.0,0.0,Y
133,0,0,0,0,0,3459,0.0,25.0,120.0,1.0,0.0,1.0,0.0,Y
99,0,0,0,0,1,1759,3541.0,131.0,360.0,1.0,0.0,1.0,0.0,Y
609,1,1,0,0,1,2900,0.0,71.0,360.0,1.0,1.0,0.0,0.0,Y
192,0,0,0,1,1,6033,0.0,160.0,360.0,1.0,0.0,0.0,1.0,N
594,0,0,0,0,0,16120,0.0,260.0,360.0,1.0,0.0,0.0,1.0,Y
310,1,1,0,0,1,2917,0.0,84.0,360.0,1.0,0.0,1.0,0.0,Y
31,0,1,0,0,1,3167,0.0,74.0,360.0,1.0,0.0,0.0,1.0,N
444,0,0,0,0,1,7333,8333.0,175.0,300.0,1.0,1.0,0.0,0.0,Y
135,0,0,3,0,1,4000,7750.0,290.0,360.0,1.0,0.0,1.0,0.0,N
24,0,0,1,0,1,3717,2925.0,151.0,360.0,1.0,0.0,1.0,0.0,N
404,1,1,0,0,0,7441,0.0,194.0,360.0,1.0,1.0,0.0,0.0,N
353,1,0,0,0,0,5500,0.0,105.0,360.0,0.0,1.0,0.0,0.0,N
346,0,0,0,1,1,3523,3230.0,152.0,360.0,0.0,1.0,0.0,0.0,N
581,0,1,0,0,1,1836,33837.0,90.0,360.0,1.0,0.0,0.0,1.0,N
320,0,0,0,0,1,2400,2167.0,115.0,360.0,1.0,0.0,1.0,0.0,Y
384,0,0,2,0,1,4566,0.0,100.0,360.0,1.0,0.0,0.0,1.0,N
314,0,0,0,0,1,2473,1843.0,159.0,360.0,1.0,1.0,0.0,0.0,N
559,1,0,0,0,1,4180,2306.0,182.0,360.0,1.0,0.0,1.0,0.0,Y
210,1,1,0,0,1,10000,0.0,214.0,360.0,1.0,0.0,1.0,0.0,N
550,0,0,2,0,0,6633,0.0,127.0,360.0,0.0,1.0,0.0,0.0,N
312,1,1,0,0,1,2507,0.0,56.0,360.0,1.0,1.0,0.0,0.0,Y
80,1,1,0,0,1,3846,0.0,111.0,360.0,1.0,0.0,1.0,0.0,Y
421,1,1,0,1,1,2720,0.0,80.0,360.0,0.0,0.0,0.0,1.0,N
539,0,0,3,0,1,6417,0.0,157.0,180.0,1.0,1.0,0.0,0.0,Y
299,0,0,1,0,1,2014,2925.0,113.0,360.0,1.0,0.0,0.0,1.0,N
583,0,0,1,0,1,1880,0.0,61.0,360.0,1.0,1.0,0.0,0.0,N
511,0,0,1,0,1,6065,2004.0,250.0,360.0,1.0,0.0,1.0,0.0,Y
195,0,0,1,0,1,3125,2583.0,170.0,360.0,1.0,0.0,1.0,0.0,N
420,0,0,0,0,1,5829,0.0,138.0,360.0,1.0,1.0,0.0,0.0,Y
586,0,0,0,0,1,2297,1522.0,104.0,360.0,1.0,0.0,0.0,1.0,Y
610,0,0,3,0,1,4106,0.0,40.0,180.0,1.0,1.0,0.0,0.0,Y
75,0,1,0,0,1,3750,0.0,113.0,480.0,1.0,0.0,0.0,1.0,N
569,0,0,0,0,1,3166,2064.0,104.0,360.0,0.0,0.0,0.0,1.0,N
505,0,0,2,0,1,3510,4416.0,243.0,360.0,1.0,1.0,0.0,0.0,Y
125,1,1,0,0,1,3692,0.0,93.0,360.0,1.0,1.0,0.0,0.0,Y
534,1,1,0,1,0,18165,0.0,125.0,360.0,1.0,0.0,0.0,1.0,Y
399,1,1,0,0,1,1500,1800.0,103.0,360.0,0.0,0.0,1.0,0.0,N
342,0,0,1,1,1,4554,1229.0,158.0,360.0,1.0,0.0,0.0,1.0,Y
153,0,0,2,1,1,2281,0.0,113.0,360.0,1.0,1.0,0.0,0.0,N
253,0,0,1,1,1,2661,7101.0,279.0,180.0,1.0,0.0,1.0,0.0,Y
396,1,1,0,0,1,3180,0.0,71.0,360.0,0.0,0.0,0.0,1.0,N
364,0,1,0,0,0,6822,0.0,141.0,360.0,1.0,1.0,0.0,0.0,Y
378,0,1,0,0,1,3069,0.0,71.0,480.0,1.0,0.0,0.0,1.0,N
206,1,1,0,0,1,3244,0.0,80.0,360.0,1.0,0.0,0.0,1.0,Y
328,1,0,0,0,1,4333,2451.0,110.0,360.0,1.0,0.0,0.0,1.0,N
146,1,0,2,0,1,14866,0.0,70.0,360.0,1.0,0.0,0.0,1.0,Y
316,0,0,2,0,1,3717,0.0,120.0,360.0,1.0,0.0,1.0,0.0,Y
388,0,0,0,0,1,2333,2417.0,136.0,360.0,1.0,0.0,0.0,1.0,Y
450,0,0,2,1,1,2309,1255.0,125.0,360.0,0.0,1.0,0.0,0.0,N
83,0,0,0,0,1,6000,2250.0,265.0,360.0,1.0,0.0,1.0,0.0,N
132,0,1,0,0,1,2718,0.0,70.0,360.0,1.0,0.0,1.0,0.0,Y
415,1,1,0,0,1,2995,0.0,60.0,360.0,1.0,0.0,0.0,1.0,Y
60,0,0,0,0,1,2500,3796.0,120.0,360.0,1.0,0.0,0.0,1.0,Y
250,0,0,0,1,1,1668,3890.0,201.0,360.0,0.0,0.0,1.0,0.0,N
416,1,1,1,0,1,2600,0.0,160.0,360.0,1.0,0.0,0.0,1.0,N
329,1,1,0,0,1,2500,0.0,67.0,360.0,1.0,0.0,0.0,1.0,Y
438,0,1,0,0,0,10416,0.0,187.0,360.0,0.0,0.0,0.0,1.0,N
81,0,0,1,0,0,2395,0.0,127.0,360.0,1.0,0.0,1.0,0.0,Y
433,0,0,0,0,1,2425,2340.0,143.0,360.0,1.0,0.0,1.0,0.0,Y
28,0,1,0,1,1,1442,0.0,35.0,360.0,1.0,0.0,0.0,1.0,N
88,0,1,0,0,1,8566,0.0,210.0,360.0,1.0,0.0,0.0,1.0,Y
71,0,0,2,1,0,1875,1875.0,97.0,360.0,1.0,0.0,1.0,0.0,Y
82,1,0,2,0,1,1378,1881.0,167.0,360.0,1.0,0.0,0.0,1.0,N
110,0,1,0,0,1,5316,0.0,136.0,360.0,1.0,0.0,0.0,1.0,Y
491,0,0,1,1,1,5333,1131.0,186.0,360.0,1.0,0.0,0.0,1.0,Y
397,0,0,0,0,1,3033,1459.0,95.0,360.0,1.0,0.0,0.0,1.0,Y
591,0,0,2,0,0,6000,0.0,205.0,240.0,1.0,0.0,1.0,0.0,N
340,0,0,3,1,1,2647,1587.0,173.0,360.0,1.0,1.0,0.0,0.0,N
372,0,0,2,0,0,9323,7873.0,380.0,300.0,1.0,1.0,0.0,0.0,Y
568,1,1,0,0,1,2378,0.0,9.0,360.0,1.0,0.0,0.0,1.0,N
430,1,1,1,0,0,8624,0.0,150.0,360.0,1.0,0.0,1.0,0.0,Y
528,0,1,1,1,1,2679,1302.0,94.0,360.0,1.0,0.0,1.0,0.0,Y
551,0,0,1,1,1,2492,2375.0,127.0,360.0,1.0,1.0,0.0,0.0,Y
368,0,0,1,0,1,6325,0.0,175.0,360.0,1.0,0.0,1.0,0.0,Y
258,0,0,0,0,1,14683,2100.0,304.0,360.0,1.0,1.0,0.0,0.0,N
13,0,1,0,0,1,1853,2840.0,114.0,360.0,1.0,1.0,0.0,0.0,N
426,1,1,1,1,1,4606,0.0,81.0,360.0,1.0,1.0,0.0,0.0,N
119,1,1,0,0,1,10408,0.0,259.0,360.0,1.0,0.0,0.0,1.0,Y
61,0,0,3,0,1,3029,0.0,99.0,360.0,1.0,0.0,0.0,1.0,Y
55,0,0,2,0,1,2708,1167.0,97.0,360.0,1.0,0.0,1.0,0.0,Y
515,0,0,3,0,1,3466,3428.0,150.0,360.0,1.0,1.0,0.0,0.0,Y
158,0,1,0,0,1,2980,2083.0,120.0,360.0,1.0,1.0,0.0,0.0,Y
85,0,1,0,0,1,2366,2531.0,136.0,360.0,1.0,0.0,1.0,0.0,Y
112,0,0,0,1,1,3572,4114.0,152.0,360.0,0.0,1.0,0.0,0.0,N
508,0,0,0,0,0,2479,3013.0,188.0,360.0,1.0,0.0,0.0,1.0,Y
503,0,0,1,1,1,4050,5302.0,138.0,360.0,1.0,1.0,0.0,0.0,N
362,0,0,0,0,1,4750,2333.0,130.0,360.0,1.0,0.0,0.0,1.0,Y
355,1,1,0,0,1,3813,0.0,116.0,180.0,1.0,0.0,0.0,1.0,Y
22,0,0,0,1,1,2600,1911.0,116.0,360.0,0.0,0.0,1.0,0.0,N
489,0,1,0,0,1,2435,0.0,75.0,360.0,1.0,0.0,0.0,1.0,N
323,1,1,0,0,1,3166,2985.0,132.0,360.0,1.0,1.0,0.0,0.0,Y
72,0,1,0,0,1,3500,0.0,81.0,300.0,1.0,0.0,1.0,0.0,Y
519,1,1,0,1,1,3400,0.0,95.0,360.0,1.0,1.0,0.0,0.0,N
331,0,1,0,0,1,2935,0.0,98.0,360.0,1.0,0.0,1.0,0.0,Y
377,0,0,0,0,1,4310,0.0,130.0,360.0,1.0,0.0,1.0,0.0,Y
449,0,1,1,1,0,2769,1542.0,190.0,360.0,1.0,0.0,1.0,0.0,N
15,0,1,0,0,1,4950,0.0,125.0,360.0,1.0,0.0,0.0,1.0,Y
318,1,1,1,0,1,3541,0.0,112.0,360.0,1.0,0.0,1.0,0.0,Y
66,0,1,0,1,1,3200,2254.0,126.0,180.0,0.0,0.0,0.0,1.0,N
322,0,0,2,1,1,3601,1590.0,127.0,360.0,1.0,1.0,0.0,0.0,Y
482,0,0,0,0,1,2083,3150.0,128.0,360.0,1.0,0.0,1.0,0.0,Y
326,0,1,0,0,1,4917,0.0,130.0,360.0,0.0,1.0,0.0,0.0,Y
542,1,1,1,0,1,3652,0.0,95.0,360.0,1.0,0.0,1.0,0.0,Y
21,0,0,1,0,1,5955,5625.0,315.0,360.0,1.0,0.0,0.0,1.0,Y
187,0,0,0,0,1,2383,2138.0,58.0,360.0,1.0,1.0,0.0,0.0,Y
78,0,0,3,0,1,3167,4000.0,180.0,300.0,0.0,0.0,1.0,0.0,N
249,0,0,0,0,1,1809,1868.0,90.0,360.0,1.0,0.0,0.0,1.0,Y
562,0,0,0,0,1,5923,2054.0,211.0,360.0,1.0,1.0,0.0,0.0,Y
612,0,0,2,0,1,7583,0.0,187.0,360.0,1.0,0.0,0.0,1.0,Y
352,0,0,3,0,1,2666,2083.0,95.0,360.0,1.0,1.0,0.0,0.0,Y
27,0,0,2,1,1,4226,1040.0,110.0,360.0,1.0,0.0,0.0,1.0,Y
203,0,0,1,1,1,3500,1083.0,135.0,360.0,1.0,0.0,0.0,1.0,Y
375,0,0,0,0,1,4817,923.0,120.0,180.0,1.0,0.0,0.0,1.0,Y
37,1,0,0,0,1,3667,1459.0,144.0,360.0,1.0,0.0,1.0,0.0,Y
107,0,1,0,1,1,7333,0.0,120.0,360.0,1.0,1.0,0.0,0.0,N
130,0,1,0,0,0,20166,0.0,650.0,480.0,1.0,0.0,0.0,1.0,Y
510,0,1,0,1,1,3598,1287.0,100.0,360.0,1.0,1.0,0.0,0.0,N
77,0,0,1,0,0,1000,3022.0,110.0,360.0,1.0,0.0,0.0,1.0,N
46,0,0,1,0,1,5649,0.0,44.0,360.0,1.0,0.0,0.0,1.0,Y
32,0,1,1,0,0,4692,0.0,106.0,360.0,1.0,1.0,0.0,0.0,N
471,0,0,1,1,1,2653,1500.0,113.0,180.0,0.0,1.0,0.0,0.0,N
178,0,0,1,0,1,3750,0.0,116.0,360.0,1.0,0.0,1.0,0.0,Y
102,0,0,0,0,1,13650,0.0,127.0,360.0,1.0,0.0,0.0,1.0,Y
279,1,0,0,1,1,4100,0.0,124.0,360.0,1.0,1.0,0.0,0.0,Y
535,0,1,0,1,1,2550,2042.0,126.0,360.0,1.0,1.0,0.0,0.0,Y
86,0,0,2,1,1,3333,2000.0,99.0,360.0,1.0,0.0,1.0,0.0,Y
231,0,0,0,0,1,3716,0.0,42.0,180.0,1.0,1.0,0.0,0.0,Y
5,0,0,2,0,0,5417,4196.0,267.0,360.0,1.0,0.0,0.0,1.0,Y
577,0,1,0,0,1,3229,2739.0,110.0,360.0,1.0,0.0,0.0,1.0,Y
226,0,0,0,1,0,4735,0.0,138.0,360.0,1.0,0.0,0.0,1.0,N
598,0,0,0,0,0,9963,0.0,180.0,360.0,1.0,1.0,0.0,0.0,Y
208,0,1,0,0,1,2479,0.0,59.0,360.0,1.0,0.0,0.0,1.0,Y
106,0,0,2,0,1,11417,1126.0,225.0,360.0,1.0,0.0,0.0,1.0,Y
532,0,1,2,0,1,3588,0.0,110.0,360.0,0.0,1.0,0.0,0.0,N
466,0,0,3,1,1,2947,1664.0,70.0,180.0,0.0,0.0,0.0,1.0,N
547,0,1,0,0,1,2526,1783.0,145.0,360.0,1.0,1.0,0.0,0.0,Y
360,1,1,1,0,1,4723,0.0,81.0,360.0,1.0,0.0,1.0,0.0,N
100,0,0,2,1,1,4288,3263.0,133.0,180.0,1.0,0.0,0.0,1.0,Y
454,0,1,0,0,0,7085,0.0,84.0,360.0,1.0,0.0,1.0,0.0,Y
358,0,0,0,1,1,3000,1666.0,100.0,480.0,0.0,0.0,0.0,1.0,N
373,0,1,1,0,1,3062,1987.0,111.0,180.0,0.0,0.0,0.0,1.0,N
369,0,0,0,0,1,19730,5266.0,570.0,360.0,1.0,1.0,0.0,0.0,N
403,1,1,0,1,1,1963,0.0,53.0,360.0,1.0,0.0,1.0,0.0,Y
600,1,1,3,0,1,416,41667.0,350.0,180.0,1.0,0.0,0.0,1.0,N
437,0,0,0,0,1,2213,1125.0,127.0,360.0,1.0,0.0,0.0,1.0,Y
400,0,0,2,1,1,2889,0.0,45.0,180.0,0.0,0.0,0.0,1.0,N
435,1,0,0,0,1,10047,0.0,127.0,240.0,1.0,0.0,1.0,0.0,Y
334,0,0,1,0,0,9833,1833.0,182.0,180.0,1.0,0.0,0.0,1.0,Y
263,1,1,0,0,1,7200,0.0,120.0,360.0,1.0,1.0,0.0,0.0,Y
79,0,0,3,1,0,3333,2166.0,130.0,360.0,1.0,0.0,1.0,0.0,Y
104,0,0,0,0,1,3816,754.0,160.0,360.0,1.0,0.0,0.0,1.0,Y
53,0,0,2,0,1,4616,0.0,134.0,360.0,1.0,0.0,0.0,1.0,N
269,1,1,1,0,1,2876,1560.0,90.0,360.0,1.0,0.0,0.0,1.0,Y
418,0,0,0,0,1,1025,2773.0,112.0,360.0,1.0,1.0,0.0,0.0,Y
428,0,0,0,0,1,2920,16.12000084,87.0,360.0,1.0,1.0,0.0,0.0,Y
114,0,1,0,0,1,5050,0.0,118.0,360.0,1.0,0.0,1.0,0.0,Y
507,0,1,0,0,1,3583,0.0,96.0,360.0,1.0,0.0,0.0,1.0,N
436,0,1,0,0,1,1926,1851.0,50.0,360.0,1.0,0.0,1.0,0.0,Y
499,0,1,0,0,1,6283,4416.0,209.0,360.0,0.0,1.0,0.0,0.0,N
294,0,0,0,0,1,2383,3334.0,172.0,360.0,1.0,0.0,1.0,0.0,Y
282,0,0,2,0,1,2301,985.7999878,78.0,180.0,1.0,0.0,0.0,1.0,Y
191,0,1,0,0,1,12000,0.0,164.0,360.0,1.0,0.0,1.0,0.0,N
285,0,1,0,0,1,3158,3053.0,89.0,360.0,1.0,1.0,0.0,0.0,Y
354,1,0,0,0,1,2423,505.0,130.0,360.0,1.0,0.0,1.0,0.0,Y
523,0,0,2,0,0,7948,7166.0,480.0,360.0,1.0,1.0,0.0,0.0,Y
277,0,0,0,0,1,3103,1300.0,80.0,360.0,1.0,0.0,0.0,1.0,Y
387,0,0,0,1,1,3010,3136.0,127.0,360.0,0.0,0.0,0.0,1.0,N
156,0,0,1,0,1,6000,0.0,160.0,360.0,1.0,1.0,0.0,0.0,Y
434,0,1,0,0,1,3750,0.0,100.0,360.0,1.0,0.0,0.0,1.0,Y
571,0,0,0,0,1,5116,1451.0,165.0,360.0,0.0,0.0,0.0,1.0,N
527,0,0,1,1,1,5285,1430.0,161.0,360.0,0.0,0.0,1.0,0.0,Y
461,0,0,3,0,1,7740,0.0,128.0,180.0,1.0,0.0,0.0,1.0,Y
138,0,1,0,0,1,14999,0.0,242.0,360.0,0.0,0.0,1.0,0.0,N
393,0,0,2,1,1,1993,1625.0,113.0,180.0,1.0,0.0,1.0,0.0,Y
576,0,0,0,0,1,3087,2210.0,136.0,360.0,0.0,0.0,1.0,0.0,N
525,0,0,2,0,0,17500,0.0,400.0,360.0,1.0,1.0,0.0,0.0,Y
14,0,0,2,0,1,1299,1086.0,17.0,120.0,1.0,0.0,0.0,1.0,Y
451,0,0,2,1,1,1958,1456.0,60.0,300.0,1.0,0.0,0.0,1.0,Y
363,0,0,0,0,1,3013,3033.0,95.0,300.0,1.0,0.0,0.0,1.0,Y
68,0,0,3,1,0,7100,0.0,125.0,60.0,1.0,0.0,0.0,1.0,Y
164,0,0,0,0,1,9323,0.0,75.0,180.0,1.0,0.0,0.0,1.0,Y
587,1,1,0,1,1,2165,0.0,70.0,360.0,1.0,0.0,1.0,0.0,Y
245,0,1,0,0,0,6050,4333.0,120.0,180.0,1.0,0.0,0.0,1.0,N
234,0,0,1,0,1,3155,1779.0,140.0,360.0,1.0,0.0,1.0,0.0,Y
111,1,0,0,0,1,2929,2333.0,139.0,360.0,1.0,0.0,1.0,0.0,Y
264,0,1,0,0,0,5166,0.0,128.0,360.0,1.0,0.0,1.0,0.0,Y
578,0,0,1,0,1,1782,2232.0,107.0,360.0,1.0,1.0,0.0,0.0,Y
242,0,1,0,0,1,2965,5701.0,155.0,60.0,1.0,0.0,0.0,1.0,Y
174,0,0,0,1,0,4344,736.0,87.0,360.0,1.0,0.0,1.0,0.0,N
120,0,0,0,0,1,5667,2667.0,180.0,360.0,1.0,1.0,0.0,0.0,Y
275,0,0,1,0,1,2750,1842.0,115.0,360.0,1.0,0.0,1.0,0.0,Y
298,1,1,0,0,1,5000,2541.0,151.0,480.0,1.0,1.0,0.0,0.0,N
